Name,Foil,Language,Quantity,Scryfall ID
"Demonic Tutor","","","1","99b6e466-784b-48a6-8e72-beff72f39231"
"Doubling Season","","Japanese","1","8676d164-c76e-402b-a649-6ded3f549b6e"
"Fierce Guardianship","","","1","4c5ffa83-c88d-4f5d-851e-a642b229d596"
"Ragavan, Nimble Pilferer","","","1","a9738cda-adb1-47fb-9f4c-ecd930228c4d"
"The First Sliver","","Japanese","1","06d4fbe1-8a2f-4958-bb85-1a1e5f1e8d87"
"Avacyn, Angel of Hope","","Japanese","1","ddb92ef6-0ef8-4b1d-8a45-3064fea23926"
"Parallel Lives","","","1","01033dae-fec1-41f2-b7f2-cc6a43331790"
"Darksteel Forge","","","1","99078ecc-f50a-43e0-93c1-63240cd97bf7"
"Anointed Procession","","Japanese","1","9a52c265-6920-4929-ba0a-70da08df01f1"
"Rhystic Study","","Japanese","1","3394cefd-a3c6-4917-8f46-234e441ecfb6"
"Cyclonic Rift","","","1","ff08e5ed-f47b-4d8e-8b8b-41675dccef8b"
"Cyclonic Rift","","Japanese","1","ff08e5ed-f47b-4d8e-8b8b-41675dccef8b"
"Carpet of Flowers","","","1","f20c3499-d2c0-4e21-be7b-925e23a1d4df"
"Land Tax","","","1","1301e203-7d9a-4735-8db3-7882ad70d343"
"Resplendent Angel","","","1","586854d1-edfd-4c66-873d-df459324dbfd"
"Urza's Saga","","","1","2138dfbb-a4e3-49db-b908-95d0b2b7e82f"
"Exquisite Blood","","","1","b1653811-1c2c-4e6c-bf1c-287d1b496d51"
"Kindred Dominance","","","1","9794115a-5509-4d9a-b119-d2b61942e87b"
"Deadly Rollick","","","1","c61fa2c0-63c0-4dc2-9f17-5a00530e3348"
"Void Winnower","","","1","8cbedb0a-34ca-4d42-bb43-cbea0f3c6d02"
"Ruby Medallion","","","1","ad5b8a3c-8c75-4af4-975b-031e39d69da3"
"Balefire Dragon","","","1","11ec63a8-6cc7-44f0-9947-c9ff361ca0c8"
"Pearl Medallion","","","1","44588d53-7cce-406a-8e61-cd9866691966"
"Atraxa, Praetors' Voice","Foil","","1","b2e330dd-7cd3-445d-9c05-56e4a57526e9"
"Sapphire Medallion","","","1","3ab1e253-47cb-4089-87d5-0f998025d98c"
"Teferi's Protection","","","1","28e21c8c-5ad1-4830-8621-f0fd6500ca79"
"Esper Sentinel","","","1","f3537373-ef54-4578-9d05-6216420ee349"
"Craterhoof Behemoth","","","1","640be32d-dcc8-408a-b8a6-077472f1e70b"
"Krark-Clan Ironworks","","","1","c60174d6-1f9d-4870-b3db-34d6fcb3f6ab"
"Sylvan Library","","","1","7a483778-b88b-473f-9217-7583e69b3e70"
"Smothering Tithe","","Japanese","1","7af082fa-86a3-4f7b-966d-2be1f1d0c0bc"
"The Ozolith","","","2","9341ed06-53db-4604-b60a-3ea9129afbc2"
"Urza's Incubator","","","1","fa0469f1-c347-445e-a684-b77f500c3893"
"Stomping Ground","Foil","","1","dcaa1ff6-304e-4660-9df3-36de8e89592e"
"Morophon, the Boundless","","Japanese","1","9693e59b-032d-4ddc-a7d1-88a0f52dcc6c"
"Sensei's Divining Top","","","1","72450f69-9f56-44da-8aed-0edccc6ab142"
"Field of the Dead","","","1","470ca3f4-29aa-4c4c-8ff2-8cdd70c69943"
"Sakashima of a Thousand Faces","","","1","714c3a1f-7b30-4ed8-8f38-6176758741fb"
"Thrasios, Triton Hero","Foil","","1","845bf543-0367-4d2c-81ba-e424bfbfb7de"
"Blood Crypt","","","1","3d7c66e7-2b43-443f-998c-80613735a87f"
"Nyxbloom Ancient","","","1","a391da36-0b40-46ea-b771-50d2b920207e"
"Mystic Remora","","","1","bf76c6a4-d6e8-4d50-b65f-020252f7b659"
