Name,Foil,Language,Quantity,Scryfall ID
"Demonic Tutor","","english","1","99b6e466-784b-48a6-8e72-beff72f39231"
"Doubling Season","","Japanese","1","8676d164-c76e-402b-a649-6ded3f549b6e"
"Fierce Guardianship","","english","1","4c5ffa83-c88d-4f5d-851e-a642b229d596"
"Ragavan, Nimble Pilferer","","english","1","a9738cda-adb1-47fb-9f4c-ecd930228c4d"
"The First Sliver","","Japanese","1","06d4fbe1-8a2f-4958-bb85-1a1e5f1e8d87"
"Avacyn, Angel of Hope","","Japanese","1","ddb92ef6-0ef8-4b1d-8a45-3064fea23926"
"Parallel Lives","","english","1","01033dae-fec1-41f2-b7f2-cc6a43331790"
"Darksteel Forge","","english","1","99078ecc-f50a-43e0-93c1-63240cd97bf7"
"Anointed Procession","","Japanese","1","9a52c265-6920-4929-ba0a-70da08df01f1"
"Rhystic Study","","Japanese","1","3394cefd-a3c6-4917-8f46-234e441ecfb6"
"Cyclonic Rift","","english","1","ff08e5ed-f47b-4d8e-8b8b-41675dccef8b"
"Cyclonic Rift","","Japanese","1","ff08e5ed-f47b-4d8e-8b8b-41675dccef8b"
"Carpet of Flowers","","english","1","f20c3499-d2c0-4e21-be7b-925e23a1d4df"
"Land Tax","","english","1","1301e203-7d9a-4735-8db3-7882ad70d343"
"Resplendent Angel","","english","1","586854d1-edfd-4c66-873d-df459324dbfd"
"Urza's Saga","","english","1","2138dfbb-a4e3-49db-b908-95d0b2b7e82f"
"Exquisite Blood","","english","1","b1653811-1c2c-4e6c-bf1c-287d1b496d51"
"Kindred Dominance","","english","1","9794115a-5509-4d9a-b119-d2b61942e87b"
"Deadly Rollick","","english","1","c61fa2c0-63c0-4dc2-9f17-5a00530e3348"
"Void Winnower","","english","1","8cbedb0a-34ca-4d42-bb43-cbea0f3c6d02"
"Ruby Medallion","","english","1","ad5b8a3c-8c75-4af4-975b-031e39d69da3"
"Balefire Dragon","","english","1","11ec63a8-6cc7-44f0-9947-c9ff361ca0c8"
"Pearl Medallion","","english","1","44588d53-7cce-406a-8e61-cd9866691966"
"Atraxa, Praetors' Voice",Foil,"english","1","b2e330dd-7cd3-445d-9c05-56e4a57526e9"
"Sapphire Medallion","","english","1","3ab1e253-47cb-4089-87d5-0f998025d98c"
"Teferi's Protection","","english","1","28e21c8c-5ad1-4830-8621-f0fd6500ca79"
"Esper Sentinel","","english","1","f3537373-ef54-4578-9d05-6216420ee349"
"Craterhoof Behemoth","","english","1","640be32d-dcc8-408a-b8a6-077472f1e70b"
"Krark-Clan Ironworks","","english","1","c60174d6-1f9d-4870-b3db-34d6fcb3f6ab"
"Sylvan Library","","english","1","7a483778-b88b-473f-9217-7583e69b3e70"
"Smothering Tithe","","Japanese","1","7af082fa-86a3-4f7b-966d-2be1f1d0c0bc"
"The Ozolith","","english","1","9341ed06-53db-4604-b60a-3ea9129afbc2"
"The Ozolith","","english","1","9341ed06-53db-4604-b60a-3ea9129afbc2"
"Urza's Incubator","","english","1","fa0469f1-c347-445e-a684-b77f500c3893"
"Stomping Ground",Foil,"english","1","dcaa1ff6-304e-4660-9df3-36de8e89592e"
"Morophon, the Boundless","","Japanese","1","9693e59b-032d-4ddc-a7d1-88a0f52dcc6c"
"Sensei's Divining Top","","english","1","72450f69-9f56-44da-8aed-0edccc6ab142"
"Field of the Dead","","english","1","470ca3f4-29aa-4c4c-8ff2-8cdd70c69943"
"Sakashima of a Thousand Faces","","english","1","714c3a1f-7b30-4ed8-8f38-6176758741fb"
"Thrasios, Triton Hero",Foil,"english","1","845bf543-0367-4d2c-81ba-e424bfbfb7de"
"Blood Crypt","","english","1","3d7c66e7-2b43-443f-998c-80613735a87f"
"Nyxbloom Ancient","","english","1","a391da36-0b40-46ea-b771-50d2b920207e"
"Mystic Remora","","english","1","bf76c6a4-d6e8-4d50-b65f-020252f7b659"
"Consecrated Sphinx","","Japanese","1","b7f6b20c-9871-433c-8557-44493447e914"
"Elesh Norn, Grand Cenobite","","english","1","b436e594-ec27-465d-a570-7645ddbbc2f7"
"Burgeoning","","english","1","30641539-de35-46c7-99ab-e4478afe064c"
"Fiery Emancipation","","Japanese","1","0b12e4b7-2c45-4795-94d3-901f89b8f290"
"Sacred Foundry","","english","1","b7b598d0-535d-477d-a33d-d6a10ff5439a"
"Sliver Legion","","english","1","feef6ea3-67f3-42d8-bf19-02ba9151c2a3"
"Living End","","english","1","3be0ff69-d9f3-4b81-b02f-1360e4064aff"
"Expropriate","","english","1","9c8a2a5a-cb9b-4582-a453-085da78584f9"
"Aesi, Tyrant of Gyre Strait",Foil,"english","1","d607b003-6b48-429c-a7fd-45b8dd1bb4f9"
"Contagion Engine","","english","1","dce72636-08e4-484e-ad81-4d1597a31ffb"
"Liliana, Dreadhorde General","","Japanese","1","d75ebba8-34ca-47a0-bf13-8318ad73b343"
"The Scarab God","","Japanese","1","621cfd79-be4e-41e3-95ce-62b0eeff5baf"
"Klauth, Unrivaled Ancient",Foil,"english","1","7f5cf828-17b2-4105-9a9a-ee0ab720c2ee"
"Rise of the Dark Realms","","english","1","7c0e1064-47c3-4f03-a1f2-3bcb356db82b"
"Tezzeret, Master of the Bridge",Foil,"english","1","9ee1eea2-961f-445d-b035-6baed454f289"
"Damnation","","english","1","941b65da-b9b3-4e15-bab5-bcbfd20dbe05"
"Grim Tutor","","english","1","928558ab-e29a-44cb-ac2f-88443571f41a"
"Branching Evolution","","english","1","4a6971ad-cbb4-4f66-9bc4-b407c5805e85"
"It That Betrays","","english","1","5b64cfc0-dace-4f54-b2b1-c92d8cb64c35"
"Divine Visitation","","english","1","f68a7e08-6af2-4eab-afd4-7eb9db431e9c"
"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun","","english","1","b3b87bfc-f97f-4734-94f6-e3e2f335fc4d"
"Aura Shards","","Japanese","1","a6222cc6-996e-4b73-af87-e837bf1eb921"
"Angrath, the Flame-Chained",Foil,"english","1","beab1010-3d63-44f0-9f01-43b5e35aa5f1"
"Liliana of the Veil","","english","1","d12c8c97-6491-452c-811d-943441a7ef9f"
"Opposition Agent","","english","1","086f97e9-8b62-44f3-b467-149c2ac5ca78"
"Yawgmoth, Thran Physician","","english","1","8690cbcc-f8fd-41f7-9e28-e61c12b04014"
"Hermit Druid","","english","1","b5e746af-e452-48be-b3ea-94a7358bc159"
"Arid Mesa","","english","1","25ac5405-df7b-4097-914a-022cb18e20d4"
